Feature,Android,iOS,Windows 10 Mobile,BlackBerry 10,Tizen,Sailfish OS,Ubuntu Touch
Audio playback,AAC LC/LTP 3GPP  HEAACv1 (AAC)  HEAACv2 (enhanced AAC) AMRNB  AMRWB  MP3  MIDI (Type 0 and 1  DLS versions 1 and 2)  Ogg Vorbis  PCM/WAVE  FLAC  WAVE  Opus[345],AAC  protected AAC (from iTunes Store)  HEAAC  MP3  MP3 VBR  Audible (formats 2  3  4  Audible Enhanced Audio  AAX  and AAX)  Apple Lossless  AIFF  WAV[346],MP3  WMA Std 92  WMA Pro  FLAC  AMRNB  AACLC  AAC  eAAC[347],MP3  FLAC  AAC  AAC  eAAC  WAV  WMA pro  AMRNB  MIDI  AWB  M4A  MKA  OGG[348],AAC  AAC  eAAC  AMRNB  AMRWB  MP3  Vorbis  WAV[349],MP3  FLAC  AAC  eAAC  eAAC  ALAC  AC3  DTS  Opus  Vorbis,?
Video playback,H263  H264 (up to Baseline Profile)  H265 HEVC  MPEG4 SP  DivX  XviD  VP8  VP9[345] (WMV on 3rd party software like VLC media player),H264 (up to High Profile)  MPEG4  MJPEG[346],H263  H264  WMV  MPEG4  MPEG4 @ HD 720p 30fps  DivX  XviD[350],MP4  WMV  H263  H264  DivX  WMV  XviD  3GGP  3GP2  ASF  AVI  F4V  M4V  MKV  MOV  MPEG4  MPEG2[348],H263  H264  MPEG4 Part 2[349],MPEG4  H264  H263 [351] although audio in recorded videos is out of sync[352],?
Wired video out,Yes|4K on 6[353],Yes|Up to 1080p via HDMI[354] or VGA [355] 576p/480p via component[356] or composite;[357],Yes|81 USB[358],Yes|10 1080p via microHDMI [359] SlimPort (BlackBerry Passport)[360],No,No[361],Yes
Wired digital audio output,Yes|5 USB Audio[362],Yes|7 USB Audio[363],Yes|10 USB Audio on USBC devices[364],Yes| USB Audio,No,No,Yes
Wireless video/audio streaming to set top boxes/TVs/speakers,Yes|42 Miracast [365] but DLNA[366] only available on selected devices,Yes|AirPlay[367],Yes|81 Miracast on some devices[368],Yes|10 DLNA [369] 102 Miracast[370] on some devices[371],Yes|DLNA[372],?,Yes
Media player ondevice playlist creation,Yes[373],Yes[82],Yes[374],Yes,?,Yes,Yes
Media player video scrubbing,Yes,Yes,Yes|71077200[375],?,?,?,?
Media player audio scrubbing,Yes,Yes,Yes|81[376],?,?,?,?
Media player fine scrubbing,No2 No [377] 3rd party software like VLC media player  basic fine scrubbing removed on 4[378],Yes[379],No,?,?,?,?
Media player double speed playing,Yes|6[380],Okay|Only Podcasts[381],Okay|81 Only Podcasts[382],?,?,?,?
