[empty],Creator,Released,Latest version,List price (USD),License,Supported OS (without emulation)
Adobe Streamline,Adobe Systems,1989,4.0,discontinued,Proprietary,[empty]
CorelDRAW,Corel,1989,2017,$449  $169 upgrade,Proprietary,Windows
Easy Trace,Easy Trace Group,2015,9.8,960 Euro  480 Euro upgrade,Proprietary,Windows
Macromedia FreeHand,Macromedia,1988,11.0.2 discontinued (MX),$399  $99 upgrade,Proprietary,Windows  macOS
Adobe Illustrator,Adobe Systems,1985,21.0.0 (CC2017),$19.99 per month,Proprietary,Windows  macOS
Graphic Tracer Professional,GraphicPowers.com,2016,release 5,$15 per month/ $120 per year,Proprietary,Windows  macOS due fall 2017
Inkscape (using Potrace),Inkscape.org,2003,0.92,free,GPL,Windows  macOS  Linux
ImageTracer,András Jankovics,2015,1.2.5,free,Public domain,Cross-platform   JavaScript or Java based
MagicTracer,Elgorithms,2003,2.0.012,$59,Proprietary,Windows
Potrace,Peter Selinger,2001,1.16 (Sep. 2019),free,GPL,Windows  macOS  Linux  BSD  AmigaOS/AROS
Scan2CAD,Avia Systems,1997,v10,$49 - $149 /month,Proprietary,Windows  macOS
WinTopo Freeware,SoftSoft Ltd,1999,2015 (v1.76),free,Freeware,Windows
WinTopo Pro,SoftSoft Ltd,2000,2015 (v3.6),$299,Proprietary,Windows
Xara Photo & Graphic Designer,Xara Group Ltd.,1994,2014 (v10),$89.99,Proprietary,Windows
Super Vectorizer,Effectmatrix Ltd.,2013,2016 (v1.6.6),$29.99,Proprietary,macOS
[empty],Creator,Released,Latest version,List price (USD),License,Supported OS (without emulation)
NAME,Maximum zoom,Object limit per document,Control point limit,Color management for print,Thumbnails,Adjust Image (functions),Text Recognition (OCR),Scripting support
Easy Trace,12800x,No Limit,[empty],[empty],[empty],[empty],[empty],[empty]
FreeHand,64x,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Graphic Tracer Professional,No limit,No limit,No limit,[empty],[empty],[empty],[empty],[empty]
Illustrator,640x,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Potrace,N/A,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ImageTracer<ref>https://github.com/jankovicsandras</ref>,N/A,No limit,No limit,[empty],[empty],[empty],[empty],[empty]
Scan2CAD,64K,No limit,No limit,[empty],[empty],[empty],[empty],[empty]
WinTopo Pro<ref>http://www.wintopo.com/features.htm</ref>,512x,No limit,No limit,[empty],[empty],[empty],[empty],[empty]
[empty],Maximum zoom,Object limit per document,Control point limit,Color management for print,Thumbnails,adjust image (functions),Text Recognition (OCR),Scripting support
[added],[added],[added],[added],[added],[added],[added],[added],[added]
NAME,Export universal DXF,inside AutoCAD application available,Curve recognition,Circle recognition,Arc recognition,Orthogonal line detection,Corner detection,Line connection
Easy Trace,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
FreeHand,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Graphic Tracer Professional,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Illustrator,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Potrace,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ImageTracer,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Scan2CAD,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
WinTopo Pro,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
[empty],Export universal DXF,inside AutoCAD application available,Curve recognition,Circle recognition,Arc recognition,Orthogonal line detection,Corner detection,Line connection
[added],[added],[added],[added],[added],[added],[added],[added],[added]
[empty],Scanner support,Freehand sketch,Raster filters,Change color depth,Image resize,Rotate,Crop,Raster shapes
Easy Trace,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
FreeHand,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Graphic Tracer Professional,[empty],[empty],N/A,N/A,[empty],[empty],[empty],N/A
Illustrator,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Potrace,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ImageTracer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Scan2CAD,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
WinTopo Pro,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
[empty],Scanner Support,Freehand sketch,Raster Filters,Change color depth,Image resize,Rotate,Crop,Raster Shapes
[added],[added],[added],[added],[added],[added],[added],[added],[added]
[empty],Fills & hatch,Vector combine,Rotate & move,Polylines,Spline curves,Lines to curves cmd. & vice versa,Vector shapes,Font ID & replace
Easy Trace,[empty],[empty],[empty],[empty],[empty],[empty],[empty],No
FreeHand,[empty],[empty],[empty],[empty],[empty],[empty],[empty],No
Graphic Tracer Professional,N/A,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Illustrator,[empty],[empty],[empty],[empty],[empty],[empty],[empty],No
Potrace,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
ImageTracer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
Scan2CAD,[empty],[empty],[empty],[empty],[empty],[empty],[empty],No
WinTopo Pro,[empty],[empty],[empty],[empty],[empty],[empty],[empty],No
[empty],Fills & hatch,Vector combine,Rotate & move,Polylines,Spline curves,Lines to curves cmd. & vice versa,Vector shapes,[empty]
[added],[added],[added],[added],[added],[added],[added],[added],[added]
